Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
7.44529104233	0	-0.41354844	0.071945384	-0.2635132	-0.61326927	21.0	0.0	-0.019692782	-0.019692782	-0.019721048	-0.019721048	-0.6911944	0.038279593	0.07025222	0.00027965216	0.69821966	1008	1008
13.4958090782	1	-0.40490392	0.082608216	-0.29320195	-0.6576973	21.0	0.0	-0.01928114	-0.01928114	-0.019369235	-0.019369235	-0.6893388	0.026104502	0.0017282984	6.536854e-05	0.6895116	1008	2016
16.2609391212	2	-0.41996798	0.07034961	-0.29739782	-0.5434188	21.0	0.0	-0.019998472	-0.019998472	-0.019944403	-0.019944403	-0.6928655	0.030581824	0.0004546265	0.00047428487	0.6929109	1008	3024
18.8336641788	3	-0.43905473	0.08871019	-0.29711708	-0.65239483	21.0	0.0	-0.020907369	-0.020907369	-0.020758428	-0.020758428	-0.6939228	0.03558305	0.00015936582	0.00014616318	0.6939388	1008	4032
21.3835110664	4	-0.4129683	0.0846258	-0.2624216	-0.6316362	21.0	0.0	-0.019665157	-0.019665157	-0.019583508	-0.019583508	-0.6905852	0.021132791	8.695771e-05	6.549863e-05	0.6905939	1008	5040
23.7448480129	5	-0.41152108	0.09351856	-0.26278332	-0.6022029	21.0	0.0	-0.019596243	-0.019596243	-0.0195928	-0.0195928	-0.6919291	0.023625726	0.00024087711	0.00020593994	0.6919532	1008	6048
26.0823431015	6	-0.40238413	0.07911591	-0.2274281	-0.57948375	21.0	0.0	-0.019161148	-0.019161148	-0.019149931	-0.019149931	-0.6928278	0.017850973	0.00038332312	0.00063338585	0.6928661	1008	7056
28.4435920715	7	-0.4092041	0.10223809	-0.16129997	-0.7315492	21.0	0.0	-0.019485908	-0.019485908	-0.019599585	-0.019599585	-0.69334924	0.011041576	0.00023602358	0.0002555028	0.6933728	1008	8064
30.8096849918	8	-0.41833487	0.10667756	-0.21144426	-0.6943834	21.0	0.0	-0.01992071	-0.01992071	-0.019973746	-0.019973746	-0.69234276	0.03194609	0.0005849951	0.0006363654	0.6924013	1008	9072
33.2124061584	9	-0.4455329	0.09444115	-0.25287476	-0.68059444	21.0	0.0	-0.02121585	-0.02121585	-0.020998921	-0.020998921	-0.69761556	0.045931313	0.006631607	0.0110378545	0.69827867	1008	10080
35.5728080273	10	-0.45362473	0.10067732	-0.17427267	-0.6628802	21.0	0.0	-0.021601178	-0.021601178	-0.021648495	-0.021648495	-0.6973219	0.042643454	0.004656069	0.005822259	0.6977875	1008	11088
37.9390671253	11	-0.44937035	0.09988633	-0.27310568	-0.6943611	21.0	0.0	-0.021398589	-0.021398589	-0.021249395	-0.021249395	-0.6943418	0.026783947	0.0023496614	0.0026941325	0.69457674	1008	12096
40.3738491535	12	0.33404765	5.685723	39.30715	-0.7159632	21.0	0.0	0.015907025	0.015907025	0.020548262	0.020548262	-0.6431569	0.1591177	0.1481466	0.16846043	0.6579715	1008	13104
42.8668951988	13	0.32933158	3.401732	19.393377	-0.6977992	21.0	0.0	0.015682457	0.015682457	0.017417992	0.017417992	-0.6970167	0.10361695	0.060819272	0.08279528	0.70309865	1008	14112
45.3587191105	14	1.7727877	7.911522	39.20921	-0.78586787	21.0	0.0	0.08441846	0.08441846	0.08624678	0.08624678	-0.6966189	0.12851456	0.08154998	0.112408064	0.7047739	1008	15120
47.9555721283	15	1.9565272	8.2493	39.350533	-0.7441182	21.0	0.0	0.09316797	0.09316797	0.10221822	0.10221822	-0.6556646	0.25328082	0.31774366	0.23746088	0.6874391	1008	16128
50.4301772118	16	2.1581352	8.300737	39.17027	-0.69870985	21.0	0.0	0.10276835	0.10276835	0.11309049	0.11309049	-0.6867566	0.3750618	0.40105718	0.3038691	0.7268623	1008	17136
53.0475671291	17	4.83486	12.006362	39.347443	-0.8020208	21.0	0.0	0.23023139	0.23023139	0.24128333	0.24128333	-0.57303745	0.26858878	0.37651694	0.29354507	0.61068916	1008	18144
55.5396711826	18	9.580789	16.675955	59.269375	-0.8107548	21.0	0.0	0.456228	0.456228	0.4700871	0.4700871	-0.56962156	0.28721327	0.42709926	0.29104757	0.6123314	1008	19152
58.0201830864	19	13.721352	21.387657	79.29561	-0.891264	21.0	0.0	0.6533977	0.6533977	0.66967744	0.66967744	-0.65280366	0.38372838	0.47921336	0.34792078	0.70072496	1008	20160
60.3905930519	20	11.633148	20.665892	69.172676	-0.7912308	21.0	0.0	0.55395937	0.55395937	0.56769544	0.56769544	-0.65082294	0.31763428	0.3980065	0.2929019	0.69062364	1008	21168
62.8452692032	21	12.414738	17.991365	59.155304	-0.8628016	21.0	0.0	0.591178	0.591178	0.6147637	0.6147637	-0.54142207	0.37508437	0.54700637	0.2812124	0.59612274	1008	22176
65.298276186	22	14.926137	20.414713	68.9634	-1.2429383	21.0	0.0	0.7107684	0.7107684	0.72482884	0.72482884	-0.65445244	0.31621772	0.35676515	0.25790507	0.690129	1008	23184
67.7378489971	23	18.23005	23.807453	89.13524	-0.8438588	21.0	0.0	0.86809766	0.86809766	0.8802504	0.8802504	-0.6334137	0.29044333	0.36979252	0.31821135	0.6703929	1008	24192
