Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	TimestepsSoFar	Episodes	LastEpReturn
0	123.46379613876343	1000	2000	-149.04051561071392	2000	2	-149.04051561071392
1	243.16341519355774	1000	3000	-149.04051561071392	3000	3	-309.74251371902875
2	362.2593171596527	1000	4000	-149.04051561071392	4000	4	-197.00096976055173
3	481.2078330516815	1000	5000	-149.04051561071392	5000	5	-284.8463356580207
4	600.1047110557556	1000	6000	-149.04051561071392	6000	6	-248.43480855618444
5	718.9981951713562	1000	7000	-149.04051561071392	7000	7	-258.35380310715266
6	838.0558080673218	1000	8000	-149.04051561071392	8000	8	-375.9357731983064
7	957.4609661102295	1000	9000	-149.04051561071392	9000	9	-250.5020390824125
8	1076.457840204239	1000	10000	-149.04051561071392	10000	10	-365.98962017034734
9	1443.6289880275726	1000	11000	-149.04051561071392	11000	11	-341.87727514685685
10	1569.0459702014923	1000	12000	-149.04051561071392	12000	12	-253.36086811929658
11	1695.9801142215729	1000	13000	-149.04051561071392	13000	13	-239.17157525356978
12	1820.0419600009918	1000	14000	-149.04051561071392	14000	14	-248.99011811121505
13	1943.7429511547089	1000	15000	-149.04051561071392	15000	15	-309.63183894416665
14	2067.626851081848	1000	16000	-149.04051561071392	16000	16	-276.7190320851581
15	2194.8475770950317	1000	17000	-149.04051561071392	17000	17	-359.3461164781974
16	2322.6044430732727	1000	18000	-149.04051561071392	18000	18	-228.25606192364097
17	2447.2453632354736	1000	19000	-149.04051561071392	19000	19	-367.05253582580053
18	2576.4949100017548	1000	20000	-149.04051561071392	20000	20	-287.66629858777037
19	2701.25315117836	1000	21000	-149.04051561071392	21000	21	-164.77906976477504
20	2824.938465118408	1000	22000	-114.732462803063	22000	22	-114.732462803063
21	2947.742865085602	1000	23000	-114.732462803063	23000	23	-233.30627265160197
22	3070.597058057785	1000	24000	-114.732462803063	24000	24	-307.5070979115187
23	3194.4798362255096	1000	25000	-114.732462803063	25000	25	-373.4828470675744
