Iteration	TimestepsThisBatch	Time	PoolSize	MaxEpReturn	TimestepsSoFar	LastEpReturn	Episodes
0	1000	194.5596969127655	2000	-312.5147886299529	2000	-339.67915390288357	2
1	1000	380.7722010612488	3000	-273.9480997316917	3000	-273.9480997316917	3
2	1000	565.3892910480499	4000	-254.70657934631558	4000	-254.70657934631558	4
3	1000	749.9693129062653	5000	-249.2155549517818	5000	-249.2155549517818	5
4	1000	934.445878982544	6000	-249.2155549517818	6000	-269.16824602654964	6
5	1000	1119.0751118659973	7000	-249.2155549517818	7000	-363.010150249467	7
6	1000	1303.65771484375	8000	-249.2155549517818	8000	-302.39063967196233	8
7	1000	1488.2007958889008	9000	-249.2155549517818	9000	-257.24793013634553	9
8	1000	1672.7542369365692	10000	-249.2155549517818	10000	-357.7051050466185	10
9	1000	1857.930776834488	11000	-249.2155549517818	11000	-380.88892087200594	11
10	1000	2042.3937509059906	12000	-214.46383061575634	12000	-214.46383061575634	12
11	1000	2226.990289926529	13000	-214.46383061575634	13000	-383.006838748691	13
12	1000	2413.1112039089203	14000	-214.46383061575634	14000	-237.73243367276376	14
13	1000	2598.6034829616547	15000	-214.46383061575634	15000	-237.0962348257705	15
14	1000	2784.3638060092926	16000	-214.46383061575634	16000	-401.7388875987394	16
15	1000	2969.8923919200897	17000	-214.46383061575634	17000	-400.3288464665974	17
16	1000	3155.652580976486	18000	-214.46383061575634	18000	-304.96200986476504	18
